Drug	Gene	Guideline	CPIC Level	ClinPGx Level of Evidence	PGx on FDA Label	CPIC Publications (PMID)
sertraline	CYP2B6	https://www.clinpgx.org/guideline/PA166251452	B	1A		37032427
trimipramine	CYP2C19	https://www.clinpgx.org/guideline/PA166251445	B	1A		23486447,27997040
trimipramine	CYP2D6	https://www.clinpgx.org/guideline/PA166251445	B	1A	Informative PGx	23486447,27997040
venlafaxine	CYP2D6	https://www.clinpgx.org/guideline/PA166251452	B	1A	Informative PGx	37032427
acebutolol	ADRA2C	https://www.clinpgx.org/guideline/PA166343383	C			38951961
acebutolol	ADRB1	https://www.clinpgx.org/guideline/PA166343383	C			38951961
acebutolol	CYP2D6	https://www.clinpgx.org/guideline/PA166343383	C			38951961
acebutolol	GRK4	https://www.clinpgx.org/guideline/PA166343383	C			38951961
acebutolol	GRK5	https://www.clinpgx.org/guideline/PA166343383	C			38951961
aceclofenac	CYP2C9	https://www.clinpgx.org/guideline/PA166251464	C			32189324
alfentanil	COMT	https://www.clinpgx.org/guideline/PA166251454	C			33387367
alfentanil	OPRM1	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
aminosalicylic acid	G6PD	https://www.clinpgx.org/guideline/PA166251450	C			36049896
aspirin	CYP2C9	https://www.clinpgx.org/guideline/PA166251464	C			32189324
aspirin	G6PD	https://www.clinpgx.org/guideline/PA166251450	C	3		36049896
atenolol	ADRA2C	https://www.clinpgx.org/guideline/PA166343383	C			38951961
atenolol	ADRB1	https://www.clinpgx.org/guideline/PA166343383	C	4		38951961
atenolol	GRK4	https://www.clinpgx.org/guideline/PA166343383	C	3		38951961
atenolol	GRK5	https://www.clinpgx.org/guideline/PA166343383	C			38951961
atorvastatin	CYP3A4	https://www.clinpgx.org/guideline/PA166264281	C	3		
atorvastatin	CYP3A5	https://www.clinpgx.org/guideline/PA166264281	C	3		
atorvastatin	HMGCR	https://www.clinpgx.org/guideline/PA166264281	C	3		
betaxolol	ADRA2C	https://www.clinpgx.org/guideline/PA166343383	C			38951961
betaxolol	ADRB1	https://www.clinpgx.org/guideline/PA166343383	C			38951961
betaxolol	CYP2D6	https://www.clinpgx.org/guideline/PA166343383	C			38951961
betaxolol	GRK4	https://www.clinpgx.org/guideline/PA166343383	C			38951961
betaxolol	GRK5	https://www.clinpgx.org/guideline/PA166343383	C			38951961
bisoprolol	ADRA2C	https://www.clinpgx.org/guideline/PA166343383	C			38951961
bisoprolol	ADRB1	https://www.clinpgx.org/guideline/PA166343383	C			38951961
bisoprolol	CYP2D6	https://www.clinpgx.org/guideline/PA166343383	C			38951961
bisoprolol	GRK4	https://www.clinpgx.org/guideline/PA166343383	C			38951961
bisoprolol	GRK5	https://www.clinpgx.org/guideline/PA166343383	C			38951961
buprenorphine	COMT	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
buprenorphine	OPRM1	https://www.clinpgx.org/guideline/PA166251454	C	3		33387367
carvedilol	ADRA2C	https://www.clinpgx.org/guideline/PA166343383	C			38951961
carvedilol	ADRB1	https://www.clinpgx.org/guideline/PA166343383	C	3		38951961
carvedilol	ADRB2	https://www.clinpgx.org/guideline/PA166343383	C	3		38951961
carvedilol	CYP2D6	https://www.clinpgx.org/guideline/PA166343383	C	3	Informative PGx	38951961
carvedilol	GRK4	https://www.clinpgx.org/guideline/PA166343383	C			38951961
carvedilol	GRK5	https://www.clinpgx.org/guideline/PA166343383	C			38951961
chloramphenicol	G6PD	https://www.clinpgx.org/guideline/PA166251450	C	3		36049896
chloroquine	G6PD	https://www.clinpgx.org/guideline/PA166251450	C	4	Actionable PGx	36049896
chlorpropamide	G6PD	https://www.clinpgx.org/guideline/PA166251450	C		Actionable PGx	36049896
ciprofloxacin	G6PD	https://www.clinpgx.org/guideline/PA166251450	C	3		36049896
citalopram	CYP2D6	https://www.clinpgx.org/guideline/PA166251452	C	3	No Clinical PGx	37032427
